date,fci
2008-02-01,0.5046395254205186
2008-03-01,0.5876167169535549
2008-04-01,0.4560016684894957
2008-05-01,0.3976044966152096
2008-06-01,0.09159800538719325
2008-07-01,0.04160946508582371
2008-08-01,-0.3022603105460505
2008-09-01,-0.5744719744090437
2008-10-01,-0.8495764671136312
2008-11-01,-1.153890583062031
2008-12-01,-1.460409785584461
2009-01-01,-2.1001436038027226
2009-02-01,-2.176615302869692
2009-03-01,-2.421703400979895
2009-04-01,-2.715600951618942
2009-05-01,-2.561692183871802
2009-06-01,-2.7860105235520467
2009-07-01,-3.2610686018567505
2009-08-01,-3.449241730943485
2009-09-01,-3.4300412678961645
2009-10-01,-3.317604964458637
2009-11-01,-3.2359778656651716
2009-12-01,-3.1178105639093827
2010-01-01,-2.922316695528497
2010-02-01,-2.848505235515175
2010-03-01,-2.5134730016618425
2010-04-01,-2.3725079665592084
2010-05-01,-2.301892332577028
2010-06-01,-2.260839450265047
2010-07-01,-2.219076773424124
2010-08-01,-2.176894732933618
2010-09-01,-2.307579107360274
2010-10-01,-2.1010496725125503
2010-11-01,-2.1772692141223247
2010-12-01,-2.1549305927882783
2011-01-01,-1.9095335601316472
2011-02-01,-2.0637059679117837
2011-03-01,-2.084702355921304
2011-04-01,-1.9126961060286696
2011-05-01,-1.8292647901720192
2011-06-01,-1.6267810208064346
2011-07-01,-1.6038841430835429
2011-08-01,-1.4896674977542574
2011-09-01,-1.250066423576396
2011-10-01,-0.7006319603902587
2011-11-01,-0.5545220242671707
2011-12-01,-0.3101620058951639
2012-01-01,-0.2726710596384605
2012-02-01,-0.2944196114898025
2012-03-01,-0.25376529626857636
2012-04-01,-0.00398956969139016
2012-05-01,0.14310737512257538
2012-06-01,-0.02030513531474825
2012-07-01,0.03909063786610552
2012-08-01,0.23358105241749108
2012-09-01,0.8016587493313039
2012-10-01,0.8141110742979797
2012-11-01,0.9207862005343288
2012-12-01,1.114947413922143
2013-01-01,1.3674567203935697
2013-02-01,1.6483762933903416
2013-03-01,1.568156919686787
2013-04-01,1.3678689021312596
2013-05-01,1.707425486163042
2013-06-01,1.374740439709501
2013-07-01,1.4436473494787363
2013-08-01,0.9504680979240788
2013-09-01,0.7103178365269112
2013-10-01,0.6542223727762977
2013-11-01,0.6588376355365998
2013-12-01,0.5918539193106547
2014-01-01,0.2681676811355636
2014-02-01,-0.16619491914145745
2014-03-01,-0.35033493049881376
2014-04-01,-0.506869243039898
2014-05-01,-0.406089712765517
2014-06-01,-0.189008748061227
2014-07-01,-0.16215456590774888
2014-08-01,-0.21615043162830497
2014-09-01,-0.2342430061061784
2014-10-01,-0.5401440768743545
2014-11-01,-0.6542673343258107
2014-12-01,-0.5622509721086302
2015-01-01,-0.7954764640703323
2015-02-01,-0.8972486565444857
2015-03-01,-0.8647112720467609
2015-04-01,-0.5992798338819288
2015-05-01,-0.5242461318381642
2015-06-01,-0.7191067454677194
2015-07-01,-0.7387977497855681
2015-08-01,-0.8542841191502398
2015-09-01,-0.9395667652022748
2015-10-01,-1.0060154289509666
2015-11-01,-1.0996934460236834
2015-12-01,-1.3282053821992412
2016-01-01,-1.5361892893190596
2016-02-01,-1.213023844796718
2016-03-01,-1.0478873631457055
2016-04-01,-1.0143811732608194
2016-05-01,-0.744990347573218
2016-06-01,-0.2723222104183353
2016-07-01,-0.5906986453509826
2016-08-01,-0.23556817541296607
2016-09-01,-0.19206714695579716
2016-10-01,-0.2571660272277902
2016-11-01,-0.20007586009082773
2016-12-01,0.17219676128004557
2017-01-01,0.33416119420745055
2017-02-01,0.4091976733965939
2017-03-01,0.2445731686516764
2017-04-01,0.4357992878985535
2017-05-01,0.6272677060339883
2017-06-01,0.878074516400699
2017-07-01,1.2380374278831798
2017-08-01,1.241887789008168
2017-09-01,1.5906689570943309
2017-10-01,1.8394691130114444
2017-11-01,2.0712098241783825
2017-12-01,1.8014982186667
2018-01-01,2.1499827039555135
2018-02-01,2.1994986773370275
2018-03-01,1.9664409868598696
2018-04-01,1.9109995790723704
2018-05-01,1.7535202103216043
2018-06-01,1.6722773591282365
2018-07-01,1.4157263208729678
2018-08-01,1.0672296433029729
2018-09-01,0.49734413359554513
2018-10-01,0.22713644648931364
2018-11-01,-0.01585978538584408
2018-12-01,-0.1891235627868214
2019-01-01,-0.37384934000957865
2019-02-01,-0.5917273108387405
2019-03-01,-0.598721033642162
2019-04-01,-0.9522908016533178
2019-05-01,-0.787451155305479
2019-06-01,-0.8557483469702214
2019-07-01,-0.8401438326527941
2019-08-01,-0.8227518424185979
2019-09-01,-0.8129355071240086
2019-10-01,-0.7959461352169197
2019-11-01,-1.0272524679690869
2019-12-01,-1.0362424789011382
2020-01-01,-0.9650661779705814
2020-02-01,-1.0054364191746676
2020-03-01,-1.3720595855308788
2020-04-01,-1.0121258834662452
2020-05-01,-0.8872622960281795
2020-06-01,-1.2148822582409329
2020-07-01,-1.0949797512231958
2020-08-01,-0.9322732404454872
2020-09-01,-0.791654168166878
2020-10-01,-0.6879332871889917
2020-11-01,-0.15068734741788142
2020-12-01,0.16575255400743116
2021-01-01,0.2574083770573663
2021-02-01,0.0922742073984726
2021-03-01,0.4807927616692843
2021-04-01,0.20393681836929628
2021-05-01,0.04211372062640051
2021-06-01,-0.13273979638072375
2021-07-01,-0.05902048681346415
2021-08-01,0.06403759719751609
2021-09-01,0.4907191588932046
2021-10-01,0.5717098587249483
2021-11-01,0.5440276828024502
2021-12-01,0.2716000650623829
2022-01-01,0.43975420247758695
2022-02-01,0.6078400513909397
2022-03-01,0.3767673680226087
2022-04-01,0.4764928822339248
2022-05-01,0.5939888613672862
2022-06-01,0.8217321087641857
2022-07-01,0.5003854554750599
2022-08-01,0.33282075022608887
2022-09-01,-0.25119583869485534
2022-10-01,-0.2889765065525547
2022-11-01,-0.33998279266264164
2022-12-01,-0.32152851943729555
2023-01-01,-0.18274936238724293
2023-02-01,0.16302538633152053
2023-03-01,0.03124593338353376
2023-04-01,0.0270520522584039
2023-05-01,-0.02538615269214151
2023-06-01,0.13628525365960853
