Date,FCI
2009-03,-2.172806401012072
2009-04,-2.7306763966050953
2009-05,-2.8158063951396217
2009-06,-2.942126179360562
2009-07,-3.725674089804297
2009-08,-3.901372216504172
2009-09,-3.8727755814224136
2009-10,-3.812117171234188
2009-11,-3.7640140781690223
2009-12,-3.7109001280648104
2010-01,-3.5994665765758413
2010-02,-3.685793016572851
2010-03,-3.3674117653920566
2010-04,-3.3161338526013755
2010-05,-3.2798769308273847
2010-06,-3.238255487113509
2010-07,-3.2404317034176087
2010-08,-3.2184828138142967
2010-09,-3.251141907866393
2010-10,-3.1298244024702906
2010-11,-3.1739910349910856
2010-12,-3.1498276853457448
2011-01,-2.99140249931925
2011-02,-3.0248946674220534
2011-03,-2.8437908275136854
2011-04,-2.612943814653496
2011-05,-2.49483158781551
2011-06,-2.2980784029378127
2011-07,-2.1799289882089483
2011-08,-1.9799369837659124
2011-09,-1.7484593106246824
2011-10,-0.7088840577534384
2011-11,-0.46449747000679104
2011-12,-0.31422326770541004
2012-01,-0.3037268771159291
2012-02,-0.312935654061624
2012-03,-0.2833142257273359
2012-04,-0.15795198595952115
2012-05,-0.07301539882031542
2012-06,-0.1536642685336587
2012-07,-0.13295906249111814
2012-08,-0.037769438997995716
2012-09,0.3004920511642517
2012-10,0.2890815944839178
2012-11,0.39264294971626
2012-12,0.48514371787873106
2013-01,0.5944615755236272
2013-02,0.7564916040490298
2013-03,0.7165246337509545
2013-04,0.591547799142562
2013-05,0.7734831116626611
2013-06,0.598691343365068
2013-07,0.6210857786065676
2013-08,0.3425554616122422
2013-09,0.20290295627290206
2013-10,0.1625772508346631
2013-11,0.1590853437980115
2013-12,0.11083298437214362
2014-01,-0.07684440282528629
2014-02,-0.32623407349204264
2014-03,-0.4210814257084659
2014-04,-0.5103746195187289
2014-05,-0.46697583575839835
2014-06,-0.3337068272382363
2014-07,-0.3084796531190157
2014-08,-0.3312176221009127
2014-09,-0.3345735129430964
2014-10,-0.4991643698811705
2014-11,-0.413967100547713
2014-12,-0.20116026944701046
2015-01,-0.31577423229276674
2015-02,-0.37247835139842755
2015-03,-0.36344358557470435
2015-04,-0.22934491496456447
2015-05,-0.19907705584234878
2015-06,-0.2753372101803284
2015-07,-0.3530220290940387
2015-08,-0.3647556040545708
2015-09,-0.4149740181925147
2015-10,-0.4612835549082493
2015-11,-0.7523692856990034
2015-12,-1.2348048262294622
2016-01,-1.350414881664509
2016-02,-1.1610434149301856
2016-03,-0.9008909650214365
2016-04,-0.7640822533749424
2016-05,-0.616148070843679
2016-06,-0.36698737018616906
2016-07,-0.27643073835540155
2016-08,0.2406838800484655
2016-09,0.25777822123320643
2016-10,0.21659464042691584
2016-11,0.2669786594020878
2016-12,0.430736552008957
2017-01,0.42059508782731153
2017-02,0.5968163840888724
2017-03,0.45726337395321914
2017-04,0.571274701798567
2017-05,0.6026274933994036
2017-06,0.7028258408571136
2017-07,0.9203477178374481
2017-08,0.9276191082851393
2017-09,1.1703590066324445
2017-10,1.3041043715739358
2017-11,1.4405431620251308
2017-12,1.2287007033841066
2018-01,1.3931971636890608
2018-02,1.4388129243987045
2018-03,1.2664222746886467
2018-04,1.2336136179021664
2018-05,1.1661073252755132
2018-06,1.0781650233264684
2018-07,0.9280922329178714
2018-08,0.7317820522167976
2018-09,0.34439701027674896
2018-10,0.1744890982259032
2018-11,0.03846447463228928
2018-12,-0.10703388885551826
2019-01,-0.2144042574811159
2019-02,-0.355977238534928
2019-03,-0.43083796141407554
2019-04,-0.7069599824880775
2019-05,-0.6080112107426436
2019-06,-0.6434423846244056
2019-07,-0.6273476143117592
2019-08,-0.5690326753381254
2019-09,-0.5051680439027972
2019-10,-0.422865316062979
2019-11,-0.4841890595903915
2019-12,-0.6026003343781678
2020-01,-0.6129947699632996
2020-02,-0.553125700731535
2020-03,-0.4705322310915624
2020-04,-0.26534315429996713
2020-05,-0.33223663859761493
2020-06,-0.6989089172983826
2020-07,-0.63784343409059
2020-08,-0.5426118279159154
2020-09,-0.6272941110784976
2020-10,-0.7243819923348535
2020-11,-0.44920671681579116
2020-12,-0.2831003122522796
2021-01,-0.23303264131034082
2021-02,-0.31606685131849943
2021-03,-0.07895196560914963
2021-04,-0.24947921626724467
2021-05,-0.33184729812601005
2021-06,-0.4357279426172405
2021-07,-0.3909059836836432
2021-08,-0.30769323962381984
2021-09,-0.04798111030708201
2021-10,-0.00787971099740452
2021-11,-0.02384071788388392
2021-12,-0.1784054519839321
2022-01,-0.09612334110037259
2022-02,0.004151578317904589
2022-03,-0.174251757164497
2022-04,-0.12322592905517266
2022-05,0.050676205305899995
2022-06,0.2871710417208927
2022-07,0.14689351509172383
2022-08,0.15771278838776487
2022-09,-0.1489367134269151
2022-10,0.09246084004717317
2022-11,0.08449786194853048
2022-12,0.13081999015095808
